Size,Aspect_Ratio,Orientation
164.43601546938967,3.894944925262735,2.881634512713387
23.17148487644372,4.435236859560857,6.967859263764169
356.4042696126159,2.486531449211485,13.594675881458416
48.109730560318965,2.673538798933706,17.738949569857926
53.57427682015174,3.0649264987326754,2.613454460539183
32.44166798255129,3.3427745252199177,4.3539720660977315
28.113437181150935,1.3346852113346321,30.214403372092708
34.953279650895695,3.1987171637303495,22.82915381602173
126.2165384435647,5.289165994014998,6.701785900614663
18.102640200982528,2.0707403405172347,44.95931152834269
27.35003377958826,3.0597491088581825,6.709014997271044
28.434591482388907,1.4439451843431157,20.331223094015883
110.3556417116279,4.312260811404324,14.611122044236277
11.481163017898984,1.1858405314003972,65.3834318080207
49.457560676056964,3.4864973158465156,8.479771691122302
14.602569157413653,1.5382962236406577,24.78797265552106
86.669852272604,2.8154589781006156,6.618147134676232
44.20571379244262,2.546490825513705,16.363025911912587
96.38354490249381,5.532752405787056,12.11496887078186
38.43988459062682,5.714510670448341,17.034215677616572
26.872836396956334,3.2999536128863225,8.219150145980693
24.983053723561945,2.1615607409555055,30.937159977452133
17.315872150686374,1.59585406098803,21.337241118960108
31.00027702249638,2.0661168952304516,39.772588424810536
68.2512024781279,5.736463006608844,3.1472741950621517
206.89724229987183,8.650705566788114,17.09204103127789
21.76995602292535,2.6595737752137447,3.153237859442077
101.11411152447813,5.771452921022288,29.591191617185885
70.28202753480747,8.13807918888624,6.592462862654449
51.5799124065121,6.5225171387069265,8.027539475585657
39.48820124124943,2.856811147025745,27.182574398502293
26.2311145547634,1.7391736192245346,26.151137632771487
54.79989644896518,5.495413772775112,9.573058253909696
112.57554257611814,3.71752725109509,43.947077146984576
117.14307383496859,3.7372125098354614,0.5798337860730018
42.87758849041838,3.136677870605553,13.706238799473416
38.34764253122056,2.8667201096958013,7.905494660479626
40.52702988864126,6.01048635093315,23.257953729990685
17.01738936883439,2.6898200998285016,30.986014470412
48.07838729007108,5.901823035193153,29.115174520258897
66.97989016760341,4.220031167697966,2.0275109927038057
108.91019966345434,5.224134776853213,6.590590338576754
62.3215006999368,2.507374310625061,44.9305110270971
105.48845252421448,2.2572685926895577,3.9197993647910976
29.190866506893318,1.6769614835824638,9.114909388864335
69.16505286021575,3.8531824223076967,10.24445693477886
30.58782303553036,1.5361307596887843,67.04258068148286
23.42092362502269,2.118620901064882,77.74551481826785
25.183292177280812,3.654683470439324,1.9667963033872788
43.26714544210009,2.0746487694886677,12.179825369697527
23.434944608572916,1.499889065760166,8.491239819187047
166.29716114019362,5.3856063499272135,13.147393704355702
35.07844119688472,5.32108098550866,4.671432595499956
144.20890705087595,2.555516545421073,52.191102356142245
33.79577915407123,2.822003517594604,16.59238343298901
78.3833340471624,4.3960032266672755,30.909593996282982
23.010230075871423,2.0663488534751395,72.14553122903877
11.31724190718855,1.124881112968812,11.53366446727624
48.961312699199595,2.7021403644414104,28.98186495960476
13.44176913872726,1.4556169400445038,17.537992688395985
56.64482557621054,3.774424794139337,2.5877130154311154
41.989174481406046,2.2922057959258932,35.38509270791289
170.33645652632313,3.979530545018276,11.079268443063954
106.96434177817373,4.491813600115413,9.90978427070192
34.03759557648687,2.423831510557519,26.22252124812757
45.22962352255677,5.621411364147205,3.614349286003472
127.79131630339057,7.873835032192063,18.529510870000372
23.75753829433376,1.2329492098672648,31.50889162985655
13.83159315244745,1.1170565780216406,37.06526985122824
97.88353987037591,8.897378744272693,13.248068929486712
69.70486015752714,6.253278737108166,2.8547392446356348
55.77978776659502,2.608322685501433,27.21163267700246
16.81964750218955,2.2494943460854184,16.084717744223997
