,Pair Number,X1 coord,Y1 coord,X2 coord,Y2 coord,Spacing
0,1,1.6619318181818183,61.953125,8.586774553571429,60.02371651785714,7.188606540967664
1,2,3.7159778225806455,152.57938508064518,12.94732862903226,160.13104838709677,11.926669962977195
2,3,5.423162185354691,51.08092284038902,8.586774553571429,60.02371651785714,9.485884353822668
3,4,4.555532094594595,183.2347972972973,18.592489919354836,189.63583669354838,15.427556200722659
4,5,8.586774553571429,60.02371651785714,14.443108974358973,60.57191506410257,5.881936287839794
5,6,10.0830078125,19.378662109375,14.228995901639344,18.746798155737704,4.193860905083937
6,7,12.706494513358779,73.2749880725191,14.443108974358973,60.57191506410257,12.8212282423844
7,8,11.564555921052632,198.5094572368421,18.592489919354836,189.63583669354838,11.31958470222545
8,9,13.593022127329194,108.19493643245342,25.477430555555557,107.6099537037037,11.898796934221263
9,10,12.94732862903226,160.13104838709677,14.635416666666668,166.26302083333334,6.360088623927242
10,11,10.0830078125,19.378662109375,13.377796519886365,36.0107421875,16.955285911817683
11,12,14.228995901639344,18.746798155737704,17.06768644957983,7.090336134453781,11.997135944907898
12,13,18.592489919354836,189.63583669354838,27.371093749999996,190.56640625,8.827788223264786
13,14,19.95849609375,129.071044921875,27.373046875,142.92689732142858,15.714967674352682
14,15,14.635416666666668,166.26302083333334,23.815524193548388,161.71875,10.243279338756432
15,16,26.485655737704917,99.51812243852459,28.341090425531917,102.88397606382979,3.8433850324644636
16,17,25.477430555555557,107.6099537037037,26.727430555555554,105.2734375,2.649869425117006
17,18,26.104736328125,180.047607421875,27.371093749999996,190.56640625,10.59475294221163
18,19,27.373046875,142.92689732142858,37.10792824074074,143.203125,9.738799563367923
19,20,27.371093749999996,190.56640625,34.81233016304348,186.7866847826087,8.346154427391273
20,21,26.727430555555554,105.2734375,28.341090425531917,102.88397606382979,2.8833009088398502
21,22,26.485655737704917,99.51812243852459,28.609989466292134,91.59058988764045,8.207226458173364
22,23,31.721608231707314,61.270960365853654,34.7900390625,67.76123046875,7.179058000316561
23,24,26.727430555555554,105.2734375,31.28063725490196,107.15762867647058,4.927663506821728
24,25,32.137784090909086,32.48401988636363,42.3876953125,28.046875,11.169106266531728
25,26,34.14417613636363,5.1491477272727275,34.36789772727273,1.044034090909091,4.111205336357888
26,27,34.7900390625,67.76123046875,37.44673295454545,73.37239583333334,6.208316936556257
27,28,35.64722893646409,12.392092541436464,40.01193576388889,11.06228298611111,4.562790718716267
28,29,36.45473461055276,53.22707286432161,41.32891149328859,53.39371854026845,4.877024816987106
29,30,34.14417613636363,5.1491477272727275,38.06361607142857,3.3426339285714284,4.315727228345184
30,31,35.64722893646409,12.392092541436464,38.812306301652896,18.21975077479339,6.631690222895161
31,32,28.609989466292134,91.59058988764045,38.61659787735849,94.02638561320755,10.298801518094951
32,33,40.07457386363637,120.52556818181819,44.3338373655914,109.50520833333333,11.814806675065977
33,34,34.81233016304348,186.7866847826087,46.0869499516441,181.8292633784655,12.316374399788351
34,35,38.812306301652896,18.21975077479339,42.3876953125,28.046875,10.45733126168091
35,36,43.59188988095239,156.6468253968254,48.28330592105263,163.86204769736844,8.606324262283138
36,37,44.3338373655914,109.50520833333333,45.15573601973684,103.54646381578947,6.015160315656189
37,38,48.28330592105263,163.86204769736844,49.01216947115385,166.8907752403846,3.115193830966392
38,39,51.01841517857143,128.65513392857142,53.913445723684205,129.9948601973684,3.1899950364288476
39,40,50.421142578125,13.850911458333334,61.14979619565217,13.158118206521738,10.750998601740891
40,41,51.15645559210527,81.54982182017544,53.72677364864865,91.91828547297297,10.682301878863774
41,42,52.492268880208336,134.82666015625,53.913445723684205,129.9948601973684,5.036470437030297
42,43,53.00886824324324,59.084670608108105,58.31975710900474,56.43142772511849,5.936770025915144
43,44,53.72677364864865,91.91828547297297,57.50621448863637,92.27183948863636,3.795941715168812
44,45,53.9782072368421,142.7734375,57.315942796610166,147.119968220339,5.480219700868828
45,46,55.19438244047619,193.03850446428572,62.81502016129033,191.28024193548387,7.820844352886967
46,47,56.03794642857143,105.96540178571428,59.747314453125,102.032470703125,5.406233258191633
47,48,64.86880428428262,28.995669001586773,78.8381865530303,23.866595643939394,14.881230946347495
48,49,59.74663628472222,171.72580295138889,62.689208984375,171.539306640625,2.9484767197097526
49,50,58.31975710900474,56.43142772511849,60.214120370370374,64.61950231481481,8.404354683879212
50,51,62.157927259887,175.37407309322032,62.689208984375,171.539306640625,3.8713943246233
51,52,63.818359375,132.43408203125,68.82254464285714,123.57142857142858,10.177843413214958
52,53,63.98562167553191,109.84250332446808,67.5828887195122,106.78353658536585,4.722034275250476
53,54,64.57950367647058,161.24770220588235,71.4758831521739,156.89113451086956,8.157188973790621
54,55,66.71993371212122,86.37350063131312,75.81018518518519,82.87278163580247,9.741032046404056
55,56,62.689208984375,171.539306640625,66.97823660714286,171.12630208333331,4.308866523020806
56,57,58.31975710900474,56.43142772511849,68.55251736111111,55.494791666666664,10.275537430377064
57,58,68.82254464285714,123.57142857142858,77.52378666201118,120.75986382681565,9.14420630722219
58,59,68.93425707547169,75.15846108490565,71.84244791666666,71.62905092592592,4.573216596567411
59,60,71.69811320754717,175.77756485849056,78.07421875,177.337890625,6.56424697784377
60,61,73.0564024390244,93.87385670731707,76.44614361702128,96.70877659574468,4.418949652079116
61,62,76.96792140151516,140.72265625,79.98480336161879,135.88446475195823,5.701725504873279
62,63,77.94261259191177,2.0076976102941178,85.65492021276596,3.9228723404255317,7.946545355411977
63,64,71.4758831521739,156.89113451086956,80.25737775124585,158.2730416839701,8.88956212805762
64,65,78.8381865530303,23.866595643939394,85.91282894736842,31.34662828947368,10.29570072340999
65,66,84.84050252375297,87.10028206650831,91.04287790697676,93.43659156976744,8.866694903711997
66,67,81.52977195945947,197.19172297297297,87.44534465020575,195.85262345679013,6.065244246833306
67,68,82.80834441489363,109.78640292553192,93.05154551630434,111.12007472826086,10.329658720467785
68,69,85.91282894736842,31.34662828947368,94.98697916666666,32.02359068627451,9.09936702683613
69,70,88.06206597222223,165.12478298611111,94.54197303921569,162.69378063725492,6.920908034139465
70,71,87.63950892857143,43.154761904761905,91.76432291666666,54.127604166666664,11.722514992143504
71,72,90.41819852941177,18.16980698529412,102.60959201388889,14.046223958333334,12.869887803457738
72,73,91.04287790697676,93.43659156976744,99.07502948113208,97.00029481132076,8.787231629134592
73,74,84.84050252375297,87.10028206650831,92.55642361111111,77.45659722222223,12.350550416975407
74,75,91.76432291666666,54.127604166666664,95.44160487288136,58.563956567796616,5.762258690176418
75,76,93.05154551630434,111.12007472826086,97.38760177203065,107.1569683908046,5.874316615131438
76,77,93.49275914634147,153.0106707317073,97.26128472222221,152.9586226851852,3.76888498301741
77,78,97.59868421052632,124.81496710526316,103.30946180555556,126.90836588541667,6.082376114039325
78,79,98.22686887254902,101.23314950980394,99.07502948113208,97.00029481132076,4.316993782300722
79,80,98.78177966101694,88.33421610169492,106.07096354166667,87.16412168560606,7.382501106568571
80,81,101.56479586481947,187.31715076616288,104.04485887096774,195.82283266129033,8.859872291154307
81,82,100.09610615079364,130.56175595238096,103.30946180555556,126.90836588541667,4.865481841029065
82,83,101.71274038461537,141.61658653846155,105.429060828877,133.5373495989305,8.892980780903557
83,84,94.54197303921569,162.69378063725492,102.0213895631068,161.0816140776699,7.651192884361207
84,85,102.60959201388889,14.046223958333334,107.87550403225808,11.214717741935484,5.978900972478533
85,86,94.98697916666666,32.02359068627451,104.1336287313433,29.50967817164179,9.485829135622573
86,87,110.8392865359838,43.82578110620283,120.39786837748345,33.580815397350996,14.011631211111602
87,88,100.09610615079364,130.56175595238096,105.429060828877,133.5373495989305,6.106927471967962
88,89,107.2730087652439,68.6207841082317,111.77455357142858,67.41536458333334,4.660143975575695
89,90,108.50935570987654,175.70730452674897,113.17608173076923,176.27403846153845,4.70101256187631
90,91,113.421875,93.95833333333333,113.885498046875,100.8941650390625,6.951309788794599
91,92,116.37276785714286,108.34821428571428,117.07925011689527,121.88181889027432,13.552031979593076
92,93,113.17608173076923,176.27403846153845,114.27143895348837,170.88026889534885,5.503867510988647
93,94,107.87550403225808,11.214717741935484,115.6000664893617,14.897772606382977,8.557672480775665
94,95,116.34114583333333,81.30918560606061,123.40756158759123,90.2529083029197,11.398438809343013
95,96,113.885498046875,100.8941650390625,116.37276785714286,108.34821428571428,7.85807618190228
96,97,117.55593039772727,190.234375,123.12785823170731,195.703125,7.807279061848724
97,98,120.39786837748345,33.580815397350996,124.88999640804596,24.492636494252874,10.137761588126011
98,99,122.67348345588236,65.35500919117648,129.11170860389612,61.71875,7.394127667408245
99,100,123.40756158759123,90.2529083029197,126.91080729166666,93.388671875,4.70167455733685
100,101,124.88999640804596,24.492636494252874,124.94721283783782,17.19805743243243,7.294803452389058
101,102,123.95125679347827,101.15913722826086,126.91080729166666,93.388671875,8.314990737069689
102,103,129.11170860389612,61.71875,129.47131440839695,69.46564885496184,7.755240692824415
103,104,128.8168298192771,45.92196912650602,137.4409520348837,53.75635901162791,11.651315327542182
104,105,129.9223400297619,147.40513392857142,130.93979779411765,143.56043198529412,3.9770533482577357
105,106,131.088226010101,176.26854482323233,136.93576388888889,164.02219742063494,13.570804101045859
106,107,130.54832175925927,133.50212191358025,133.79090507075472,138.01407724056605,5.556265598826643
107,108,123.95125679347827,101.15913722826086,133.1538134282178,106.0546875,10.423697092620927
108,109,133.1538134282178,106.0546875,133.42380275974025,118.61810064935065,12.566313866859002
109,110,133.79090507075472,138.01407724056605,139.13167317708331,136.72281901041669,5.49464755762419
110,111,124.88999640804596,24.492636494252874,134.12272135416669,31.654188368055557,11.684649552805867
111,112,135.55715460526315,5.910773026315789,140.96620858433735,6.114693147590362,5.412896485653398
112,113,136.40854779411765,196.45565257352942,140.60407366071428,189.74609375,7.913318956271313
113,114,136.93576388888889,164.02219742063494,144.36383928571428,157.88823341836735,9.633370048017321
114,115,129.11170860389612,61.71875,137.4409520348837,53.75635901162791,11.522845411805157
115,116,140.60407366071428,189.74609375,145.36458333333334,189.66869212962962,4.761138871523861
116,117,140.99878771551724,150.46470905172413,144.36383928571428,157.88823341836735,8.15060035164473
117,118,140.60407366071428,189.74609375,142.66357421875,183.85009765625,6.245343264070014
118,119,145.472412109375,97.869873046875,151.67818821317428,91.60460159491701,8.818462644770104
119,120,140.96620858433735,6.114693147590362,147.39860372340425,2.435172872340426,7.410437010127467
120,121,148.78416166974168,30.438840521217713,156.7360101744186,31.79505813953488,8.066673469873837
121,122,154.71515486725664,160.01279037610618,159.45012019230768,162.0292467948718,5.146454422047933
122,123,145.472412109375,97.869873046875,156.9502314814815,106.83015046296296,14.561143805071039
123,124,154.3775475543478,151.1039402173913,154.71515486725664,160.01279037610618,8.915244800237602
124,125,156.29585597826087,51.07676630434783,158.62233231707316,57.62195121951219,6.946361474091923
125,126,157.15315645973155,186.51557256711408,160.02170138888889,180.95486111111111,6.257001031446055
126,127,158.12533103813558,170.32905190677968,159.45012019230768,162.0292467948718,8.404869493255937
127,128,159.01630108173077,70.11343149038461,159.8362699468085,75.54022606382979,5.488392139968756
128,129,158.62233231707316,57.62195121951219,163.76953125,59.693170362903224,5.548297540243549
129,130,159.8362699468085,75.54022606382979,164.0513392857143,73.56863839285714,4.65338236942925
130,131,160.02170138888889,180.95486111111111,164.57932692307693,176.70973557692307,6.228406000807767
131,132,163.5507185828877,197.88811831550802,167.68904320987653,195.92013888888889,4.582430986052981
132,133,164.0513392857143,73.56863839285714,166.82751225490196,75.09957107843137,3.170314060563678
133,134,166.98918269230768,7.286658653846153,171.1890243902439,4.430259146341464,5.0791424900466
134,135,160.02170138888889,180.95486111111111,166.8523615056818,184.22407670454547,7.572693591285712
135,136,167.88956925675674,166.796875,172.86211993243242,164.68670819256758,5.4017649131883045
136,137,172.11031626506025,96.43966490963855,181.16832386363637,97.59232954545455,9.131053467071792
137,138,163.76953125,59.693170362903224,172.9949111238532,62.99813646788991,9.799511966011714
138,139,174.21875,111.75781250000001,175.58976715686273,122.44944852941177,10.779182205985192
139,140,176.0196990030675,45.0728527607362,180.09935461956522,41.28311820652174,5.568274233604922
140,141,175.58976715686273,122.44944852941177,181.64713541666666,122.76692708333334,6.065682390883988
141,142,172.11031626506025,96.43966490963855,176.71875,86.76595052083333,10.7153353454527
142,143,172.86211993243242,164.68670819256758,178.13622485632183,158.31986350574712,8.267580904610986
143,144,182.79713834269663,196.8969452247191,194.99189268867926,190.8755896226415,13.600321939040025
144,145,183.90395220588235,132.8469669117647,190.29431216931215,131.85040509259258,6.467598930177891
145,146,171.1890243902439,4.430259146341464,184.72741168478262,14.232336956521738,16.714324991867176
146,147,172.9949111238532,62.99813646788991,186.28472222222223,65.37326388888889,13.500381820389881
147,148,180.09935461956522,41.28311820652174,186.4600929054054,34.93982263513514,8.983116956097478
148,149,178.13622485632183,158.31986350574712,189.70588235294116,158.85799632352942,11.582165666172035
149,150,192.47295673076923,116.72475961538463,197.11762002595157,118.57766544117648,5.0006156745812245
150,151,192.47472426470588,41.681985294117645,197.392578125,43.7939453125,5.35216420809893
151,152,194.3213619402985,187.6982276119403,194.99189268867926,190.8755896226415,3.247343657756479
152,153,194.55729166666666,92.59114583333333,198.5928622159091,101.79332386363636,10.0481794450191
153,154,186.4600929054054,34.93982263513514,196.12274169921875,29.89044189453125,10.902432186267621
154,155,196.10595703125,173.974609375,197.32306985294116,177.54480698529412,3.7719589866904477
155,156,194.55729166666666,92.59114583333333,198.8232825413223,78.92561983471074,14.315909994187411
156,157,194.99189268867926,190.8755896226415,198.8452576754386,194.1234923245614,5.039572767836719
157,158,196.10595703125,173.974609375,199.38122234513273,165.3259817477876,9.24803345098323
158,1,0.7876536885245901,161.11360143442624,5.604976365546219,151.62979254201682,10.637162633065783
159,2,1.745509350393701,127.75359867125984,15.242686170212766,130.1072140957447,13.700849888668735
160,3,1.7641129032258067,60.266507056451616,10.054086538461538,66.59254807692308,10.427965183370684
161,4,1.7641129032258067,60.266507056451616,2.9242894158291457,49.11226052135678,11.214420417751043
162,5,3.0628551136363638,176.54030539772728,4.3275122549019605,187.32383578431373,10.857434562703457
163,6,3.895692567567568,196.39463682432432,12.61328125,198.1015625,8.88312713510028
164,7,5.144998301630435,109.57561990489131,8.819369612068966,105.88968211206897,5.204530904849135
165,8,4.3275122549019605,187.32383578431373,10.60474537037037,187.44032118055557,6.2783138208814355
166,9,9.399933510638297,30.25681515957447,11.627327127659575,36.141123670212764,6.291769939652707
167,10,0.7876536885245901,161.11360143442624,12.464943910256409,162.29467147435898,11.736866420036494
168,11,12.61328125,198.1015625,19.3127818943299,196.63841011597938,6.857413782341119
169,12,9.399933510638297,30.25681515957447,12.598623143564355,13.828511757425744,16.7368087770889
170,13,8.819369612068966,105.88968211206897,15.466638513513514,99.63048986486487,9.130370826837856
171,14,20.16059027777778,49.658203125,23.085132087628864,59.282377577319586,10.058711581820413
172,15,21.459517045454547,181.6015625,26.200619103773587,183.31736438679243,5.0420258668632
173,16,23.085132087628864,59.282377577319586,29.095262096774192,65.59979838709677,8.719602537652452
174,17,12.598623143564355,13.828511757425744,26.993739891404804,4.034412546210721,17.411024253129952
175,18,12.464943910256409,162.29467147435898,23.663504464285715,157.39397321428572,12.223935614954213
176,19,15.466638513513514,99.63048986486487,25.044389204545453,93.2913115530303,11.485577476504897
177,20,21.459517045454547,181.6015625,25.317950581395348,176.1355377906977,6.690660316738254
178,21,27.437337239583332,73.291015625,32.69314236111111,78.09244791666666,7.118794808599066
179,22,23.663504464285715,157.39397321428572,27.997239191729324,143.58552631578948,14.472541671608393
180,23,27.437337239583332,73.291015625,29.095262096774192,65.59979838709677,7.867880110468834
181,24,26.200619103773587,183.31736438679243,30.367838541666664,186.89453125,5.491979662269702
182,25,32.15326444508009,194.27671803489704,38.28579215116279,191.8468386627907,6.596378538930262
183,26,32.015306122448976,35.499043367346935,41.37178308823529,28.02734375,11.973719404727683
184,27,32.95242537313433,168.98903917910448,39.77123298267327,169.96538521039605,6.888351674292251
185,28,35.45789308739255,127.31017191977077,39.348538306451616,115.59979838709677,12.339771816988296
186,29,38.23912377450981,103.70327818627452,46.65421195652174,102.36073369565217,8.521510125578528
187,30,32.015306122448976,35.499043367346935,38.09765625,49.28515625,15.06824115440726
188,31,38.23912377450981,103.70327818627452,39.348538306451616,115.59979838709677,11.94813765790534
189,32,38.935959507042256,160.1136113556338,39.77123298267327,169.96538521039605,9.887119391636245
190,33,41.37178308823529,28.02734375,49.93766622340425,31.939827127659576,9.41710571597423
191,34,44.0296052631579,69.97121710526316,47.18380489864865,64.33435388513513,6.459349990746914
192,35,44.68410326086957,138.62941576086956,46.21394230769231,136.39948918269232,2.704252217017632
193,36,45.96137152777778,182.71918402777777,46.121651785714285,173.54290674603175,9.177676967107343
194,37,39.77123298267327,169.96538521039605,46.121651785714285,173.54290674603175,7.288791347813038
195,38,48.78472222222222,151.13932291666669,55.97245065789473,155.81825657894737,8.57647131873002
196,39,49.93766622340425,31.939827127659576,55.16036184210527,26.212993421052634,7.7506886035195715
197,40,50.67687665343915,3.3544146825396823,54.48887711864406,10.123146186440678,7.768337899359444
198,41,46.21394230769231,136.39948918269232,53.565663739669425,138.7905152376033,7.7307705701731235
199,42,53.00436580882353,88.93037683823529,61.570785984848484,80.58120265151516,11.962117882398644
200,43,53.125,169.17317708333331,54.909939236111114,162.24500868055557,7.154406019639728
201,44,53.84486607142858,24.190848214285715,55.16036184210527,26.212993421052634,2.412384786869349
202,45,53.565663739669425,138.7905152376033,54.68039772727272,130.7315340909091,8.135711953227615
203,46,54.909939236111114,162.24500868055557,55.97245065789473,155.81825657894737,6.51399056623096
204,47,61.570785984848484,80.58120265151516,66.50390625,70.9033203125,10.862646183976993
205,48,61.87420280612245,196.10969387755102,69.88251544676805,183.28258673954372,15.121764079638394
206,49,62.744140625,117.86702473958333,72.1875,114.7649515086207,9.939813610709983
207,50,62.73871527777778,176.484375,69.88251544676805,183.28258673954372,9.861519340858967
208,51,63.66464120370371,53.46016589506173,66.09552556818183,48.90802556818182,5.16054070316963
