,Particle_Diameters,Minor_Axis_Size,Major_Axis_Size,Aspect_ratio,Circularity,Orientation,Normal_Angle_X,Normal_Angle_X_Abs_Ori
0,1.6344304437273447,1.449806591961385,1.9940379111322644,1.375382014531063,0.9502609154478386,-80.17391779137563,9.82608220862437,9.82608220862437
1,2.743790495859625,2.734704070178632,2.824456981116806,1.0328199719731692,0.9566760017583976,60.0370818803947,-29.9629181196053,29.9629181196053
2,6.515395966596123,4.861766906463229,9.07186253871297,1.8659599921692755,0.7698002986549035,76.88297144334045,-13.117028556659548,13.117028556659548
3,1.340559085464394,1.2326109992817065,1.5792953397299896,1.2812601385597813,1.0859420458740976,82.20007275402996,-7.799927245970039,7.799927245970039
4,1.1661760393441107,0.8260111857379328,1.798801007996597,2.1776957008028943,1.002765992820705,33.2103180153283,-56.7896819846717,56.7896819846717
5,1.2466946262544771,1.1817138995754646,1.4424592034429211,1.2206501116396538,1.0215897026501668,68.1882641593125,-21.811735840687504,21.811735840687504
6,3.5672680490315747,2.4779236777576075,8.005533862224784,3.2307427117647856,0.3036461367276318,85.36733829353784,-4.632661706462159,4.632661706462159
7,1.663882010113248,1.4033765748151794,2.0600158063898526,1.4678995241609691,1.0904892722253334,-56.61793894139534,33.38206105860468,33.38206105860466
8,5.59278381121846,4.225183520866517,7.70241449820577,1.8229775014899536,0.7332672309294057,89.58114775471351,-0.41885224528648735,0.41885224528648735
9,2.125330979189304,1.7762108397285743,2.6677304717198003,1.501922188543484,0.953146692925529,-55.041514376693,34.95848562330701,34.958485623307
10,2.92375806133559,1.833519720389068,4.889972005959019,2.666986316853675,0.7017923979242573,-89.16472953637536,0.8352704636246244,0.8352704636246386
11,1.7212740281460053,1.507338062393182,2.240615193619204,1.4864715816051286,0.7696499264780012,52.0927664820386,-37.9072335179614,37.9072335179614
12,1.9086035621207809,1.6357847628732836,2.371420064591266,1.449713995639516,0.9473112013918832,7.465708589068773,-82.53429141093123,82.53429141093123
13,1.376313601551939,1.0696688273573651,2.008023822505969,1.877238796859048,0.8461875793671475,-32.233757108586126,57.76624289141387,57.766242891413874
14,2.4041334941401127,1.996596714406282,3.0316399528317186,1.518403757232077,0.910250146400318,69.11907905124275,-20.88092094875725,20.88092094875725
15,1.7353254778478429,1.336283552408769,2.3234261480353555,1.7387224020285028,1.0372383220273609,-81.80522983298262,8.194770167017396,8.194770167017381
16,1.2466946262544771,0.9033610602049866,1.830329145961424,2.026132436510041,1.0913991455361816,-81.71814751336784,8.281852486632147,8.281852486632161
17,1.2270604129519955,1.0607728290688243,1.4974244400774923,1.4116353653137714,1.157792750026421,68.97491522813341,-21.025084771866588,21.025084771866588
18,2.434249075164649,2.245945150138146,3.3127091072568704,1.4749732899991383,0.4676899389338109,21.715550874129043,-68.28444912587096,68.28444912587096
19,1.1451621372724683,0.7888988069158775,1.7954173086360912,2.275852483102489,0.988683291791769,-80.12346624818949,9.876533751810513,9.876533751810513
20,1.2466946262544771,0.8486421319968227,1.958059947227928,2.307285808000938,0.9628708838538628,-47.63593987135663,42.36406012864336,42.36406012864337
21,1.4783979621211876,1.5342998623679942,1.8917430649871725,1.232968281746119,0.6631277229259875,88.0948386725546,-1.9051613274453985,1.9051613274453985
22,2.607648897704901,1.546814354740032,4.96655501203422,3.2108281105711183,0.5653921013593267,-88.68184373181924,1.3181562681807577,1.3181562681807577
23,1.5583682828180965,1.465389754906463,1.9482470891501016,1.3295077863257343,0.7414222582115921,-31.44800697831625,58.55199302168376,58.55199302168375
24,1.5108941070107518,1.4849805898495652,1.9702325220804704,1.3267732491237905,0.7395953008156592,-26.95785147034524,63.04214852965475,63.04214852965476
25,2.079122611754846,1.764204134175353,3.017747924138718,1.710543505527671,0.5611934382531669,87.40171866012395,-2.5982813398760527,2.5982813398760527
26,1.4111624987975715,1.0755559490907816,2.6212828806923247,2.437142282470958,0.5084706252702185,-56.38274433847561,33.61725566152438,33.61725566152439
27,1.5738748168108194,1.1546101809596347,2.3804781348128032,2.061715870922175,0.8077333526586226,80.62849033568821,-9.371509664311787,9.371509664311787
28,1.461879030667795,1.3548301727871932,1.6964214451749808,1.2521284801954602,1.0008730228873377,-28.299165806536585,61.70083419346341,61.700834193463415
29,1.461879030667795,1.248841746333837,1.9624396299562104,1.57140777501813,0.8267456374958004,-59.0158416335326,30.984158366467398,30.984158366467398
30,1.6344304437273447,1.262643466364194,2.350528969759297,1.8615935791658516,0.8670172391479755,87.19562411494309,-2.8043758850569134,2.8043758850569134
31,1.526882849696625,1.3081896380131908,2.3205110457945297,1.773833837515178,0.6896535313171755,-26.178292833051227,63.82170716694877,63.82170716694877
