Filename,Major_Axis_Size_MLE,Major_Axis_Size_FWHM,Aspect_ratio_MLE,Aspect_ratio_FWHM,Orientation_MLE,Orientation_FWHM,Spacing_MLE,Spacing_FWHM,KDE_bandwidth
61620A_IP,1.53158328442189,1.5014920185403793,1.34890478374545,0.8706453427351888,27.119639830900283,179.05487430199662,4.373780843871436,4.238821597435836,0.35
61620A_TP,1.4626375404009084,1.3904505150412036,1.4574413570220004,1.4445271586393438,87.7937417653875,179.8352093053115,3.644791688155081,3.6005626480578936,0.25
61620B_IP,1.495509655832636,1.1791595626239848,1.3853342107904032,0.8532057030316209,-51.24716455242856,178.20090472695216,2.9357855847052843,3.5150396034064477,0.25
61620B_TP,1.8479569595212824,2.207358312567604,1.4779536865592706,1.4097030768925582,-88.45659827642747,179.80747550015238,3.955698345372415,4.8140615558325,0.45
63020A_IP,2.4718347159227756,3.0219696425115865,1.6594556024420288,1.5566046873684152,1.6393918184830056,177.92914542505645,10.863555243754236,16.376744511280215,1.0
63020A_TP,2.2753171021978646,2.8576035636884285,1.491425088341718,1.1297966368986836,83.77526957525036,179.96700899642497,8.606821556911589,11.065652520212726,1.0
63020B_IP,2.383486183662067,2.9842598537649025,1.4761545741013296,1.1108165612746193,87.80607851599983,179.59668701408384,10.405396848283445,14.48414567036081,0.9
63020B_TP,2.902121436687689,4.98704146696169,2.1923631028418216,2.1994276460765754,84.19021775114945,179.57775403896028,11.151963159224472,11.843965930598356,1.0
61620A_IP,1.53158328442189,1.5014920185403793,1.34890478374545,0.8706453427351888,11.196821718253245,89.9296416763395,4.373780843871436,4.238821597435836,0.35
61620A_TP,1.4626375404009084,1.3904505150412036,1.4574413570220004,1.4445271586393438,87.47341267402096,34.795629347724905,3.644791688155081,3.6005626480578936,0.25
61620B_IP,1.495509655832636,1.1791595626239848,1.3853342107904032,0.8532057030316209,31.85825797379674,89.55848363469678,2.9357855847052843,3.5150396034064477,0.25
61620B_TP,1.8479569595212824,2.207358312567604,1.4779536865592706,1.4097030768925582,88.6130350277357,22.626096743541495,3.955698345372415,4.8140615558325,0.45
63020A_IP,2.63972191828453,3.6095748507777285,1.6594556024420288,1.5566046873684152,1.8503510863774555,89.64018923561285,12.003174062838168,16.37674451128022,1.35
63020A_TP,2.4032695005719735,3.2841115582687914,1.491425088341718,1.1297966368986836,83.73743208355704,26.98904790213095,8.581557510061788,11.14144466076213,1.15
63020B_IP,2.4641418553854426,3.3068825406584055,1.4761545741013296,1.1108165612746193,83.05602908755799,89.14947685315133,10.405396848283445,14.48414567036081,0.9
63020B_TP,3.1870952347997856,6.055693209882053,2.1923631028418216,2.1994276460765754,84.22677151877134,22.870708960901766,11.185232726445253,11.977044199481483,1.15
