Size,Aspect_Ratio,Orientation,Distance
95.60351575150725,2.538121339795188,85.092463873275,62.45423876612903
95.60351575150725,2.538121339795188,85.092463873275,99.9119730643537
95.60351575150725,2.538121339795188,85.092463873275,47.33655937899066
95.60351575150725,2.538121339795188,85.092463873275,88.45663149856232
95.60351575150725,2.538121339795188,85.092463873275,44.73560515456514
95.60351575150725,2.538121339795188,85.092463873275,14.2272308779182
95.60351575150725,2.538121339795188,85.092463873275,59.9173324579352
95.60351575150725,2.538121339795188,85.092463873275,30.05236385969772
95.60351575150725,2.538121339795188,85.092463873275,22.15355985454064
95.60351575150725,2.538121339795188,85.092463873275,28.40898848393347
95.60351575150725,2.538121339795188,85.092463873275,73.8904724315767
95.60351575150725,2.538121339795188,85.092463873275,70.63847358686733
95.60351575150725,2.538121339795188,85.092463873275,41.6787866749898
95.60351575150725,2.538121339795188,85.092463873275,99.52836733175312
95.60351575150725,2.538121339795188,85.092463873275,196.08300658966945
95.60351575150725,2.538121339795188,85.092463873275,168.1778104301609
95.60351575150725,2.538121339795188,85.092463873275,53.1610012904095
95.60351575150725,2.538121339795188,85.092463873275,13.4816554123987
95.60351575150725,2.538121339795188,85.092463873275,20.6863507308072
95.60351575150725,2.538121339795188,85.092463873275,43.69042314312941
95.60351575150725,2.538121339795188,85.092463873275,84.37922694978737
95.60351575150725,2.538121339795188,85.092463873275,19.793498915441766
95.60351575150725,2.538121339795188,85.092463873275,72.02985447635409
95.60351575150725,2.538121339795188,85.092463873275,116.93093044394348
95.60351575150725,2.538121339795188,85.092463873275,218.02545248446663
95.60351575150725,2.538121339795188,85.092463873275,281.41583235456267
95.60351575150725,2.538121339795188,85.092463873275,204.3345866344557
95.60351575150725,2.538121339795188,85.092463873275,174.6294780029486
95.60351575150725,2.538121339795188,85.092463873275,174.6294780029486
94.04578870372757,1.1914107634573072,83.61943481398292,174.6294780029486
123.8730177709991,3.0961492115685023,47.97619490244908,174.6294780029486
32.26989285582955,2.9034767178621808,38.331799531350605,174.6294780029486
36.03382293434294,1.3122910397860446,40.22417578813355,174.6294780029486
33.59570645259752,2.939305850851635,71.22521396428058,174.6294780029486
39.99466259357606,3.720944983446684,62.12359728754202,174.6294780029486
