X1,Y1,X2,Y2,Distance
4.594470046082949,733.8387096774194,289.8002450980392,614.5980392156863,309.12889158917307
35.79399141630901,1.6995708154506437,203.6046052631579,52.1546052631579,175.23159709588782
198.6304347826087,240.84323671497586,156.17021276595744,211.36170212765958,51.6916950324367
203.6046052631579,52.1546052631579,156.17021276595744,211.36170212765958,166.12321115244941
290.4523305084746,473.95338983050846,345.26070763500934,506.52956238361264,63.75864820911809
289.8002450980392,614.5980392156863,345.26070763500934,506.52956238361264,121.4687556107294
381.27826226098085,884.707656612529,574.0883392226149,704.3886925795053,263.9898758814325
345.37333333333333,158.49333333333334,354.29761904761904,154.36904761904762,9.831205834650454
472.7800696995385,323.2277479513987,512.5492957746479,342.2957746478873,44.104205975294065
574.0883392226149,704.3886925795053,649.6734693877551,766.6147959183673,97.90403382302446
685.1055182699478,829.1096196868009,649.6734693877551,766.6147959183673,71.84033049643953
649.6734693877551,766.6147959183673,678.1439252336448,747.9158878504672,34.061943852407175
700.3940066592675,209.20643729189788,697.7158054711247,275.31155015197567,66.15934331481678
677.1588785046729,414.97196261682245,776.0072115384615,480.7331730769231,118.72459620793177
680.049645390071,998.0141843971631,685.1055182699478,829.1096196868009,168.98021727579362
736.4882721241006,129.61797962807213,700.3940066592675,209.20643729189788,87.39060929386196
884.5167965981574,212.14939759036145,907.8513513513514,150.8168168168168,65.62154303179089
842.384047267356,306.6085672082718,884.5167965981574,212.14939759036145,103.429702170495
854.6792452830189,132.97903563941298,907.8513513513514,150.8168168168168,56.084394452244396
889.0119017472778,422.83134970878706,842.384047267356,306.6085672082718,125.22736116984515
965.1041666666666,975.6527777777778,680.049645390071,998.0141843971631,285.93025829077027
