X1,Y1,X2,Y2,Distance
97.1557519927764,12144.468999097053,109.30022099187346,18168.125622649182,6023.66886594796
109.30022099187346,18168.125622649182,97.1557519927764,23608.847734244664,5440.73566567346
604.055327607262,65842.03070919155,12376.355972727491,98508.95146167449,34723.403835570294
12376.355972727491,98508.95146167449,13698.671013811345,110197.82413341866,11763.428981556555
97.1557519927764,138932.72534967025,12559.507626273564,125730.2884152786,18155.290007184645
97.1557519927764,164290.3766197849,97.1557519927764,166719.27041960432,2428.8937998194306
6951.052438028639,182414.3405369828,12250.17217795136,180856.7144485825,5523.302368085955
12559.507626273564,125730.2884152786,26951.260837781418,131468.76660719837,15493.633933331632
21697.28219664916,154931.03917781412,36134.41913404786,142265.40375511104,19205.448279330347
22601.251963577717,2204.023545207062,31097.09106694164,10495.721386921128,11871.45884752726
26951.260837781418,131468.76660719837,36134.41913404786,142265.40375511104,14173.841046024712
35027.55878873208,109554.079569661,13698.671013811345,110197.82413341866,21338.600253496734
48366.32146087795,26444.31693878083,65781.91761849368,17791.958480318182,19446.498307378886
53325.53938223831,196792.48705550932,55060.91036034097,171756.84896246888,25095.710533024165
44056.89500365767,59647.154673431854,44303.02290870604,56796.7274487501,2861.0337832417213
47368.38602260058,55216.19145907831,44303.02290870604,56796.7274487501,3448.846913777562
58845.64844150789,126609.17222382642,60765.449307989096,103065.28481750884,23622.029327902823
59558.3624910281,6001.961649806177,68546.15300340738,3362.8293051457163,9367.251348557273
65781.91761849368,17791.958480318182,59558.3624910281,6001.961649806177,13331.791465819071
81618.3895868852,1375.2963538048975,68546.15300340738,3362.8293051457163,13222.467868256716
79471.10104111103,153281.8234878603,92561.56527063737,127323.74270457993,29072.017675005263
81898.14468396323,74003.20127306333,82212.65758210965,67183.20250300488,6827.246999098478
90202.93308652972,124622.56631524333,92561.56527063737,127323.74270457993,3586.0144542678327
108258.16027100931,191241.11809820123,106752.4201523017,180539.5553000892,10806.974582510167
114343.0234596089,101475.26164815968,132122.42054062823,93303.9965347402,19567.231130600587
106752.4201523017,180539.5553000892,109826.90743688692,178214.32991853912,3854.756171028327
123682.58441471322,153238.90983060657,130168.3943893956,139493.40427495635,15198.837258425416
128577.14757510326,32377.198115444982,158664.25301663537,24656.323442287387,31061.96741303548
129521.63203981543,180130.39618533614,133052.24562379168,180811.9679191881,3595.799258543699
137273.05438111236,164542.73085044484,139158.11012188377,159231.8557073934,5635.497309989321
132122.42054062823,93303.9965347402,143035.84908112735,96440.47559161876,11355.193674386128
150107.09911107406,104605.99396099448,143035.84908112735,96440.47559161876,10801.771485577425
156202.62839441717,52497.68850664589,171363.23669623391,70783.51146480683,23753.21799963786
158664.25301663537,24656.323442287387,178385.10924249614,7644.435523016915,26044.5099946014
149429.144926075,118398.67724793773,150107.09911107406,104605.99396099448,13809.335035796645
149804.91664409998,168542.09738556403,161672.57600681926,167074.43581761763,11958.067119211426
158395.19458682285,78376.2354940687,171363.23669623391,70783.51146480683,15027.294311884263
166136.6322647966,135703.02514056824,176566.83350714474,114440.6958461994,23682.815393826306
176566.83350714474,114440.6958461994,194499.07466813317,106508.05553415044,19608.468970732796
178385.10924249614,7644.435523016915,187762.30794325893,6358.211790088906,9465.000103789467
192183.56510107164,143818.44589055303,198451.18385307112,151546.0764562107,9949.840148449726
182536.2268440283,92531.13819792024,193263.1697250259,90458.6401322402,10925.317011621775
187777.2701058988,27783.48772109512,198415.0561420898,24862.49783232689,11031.530885696116
194499.07466813317,106508.05553415044,193263.1697250259,90458.6401322402,16096.93125323801
193504.085375824,57739.48237374429,198292.9848025117,55721.6812899747,5196.641120242128
197651.23296030448,71008.71023772046,198530.83950066764,64806.35642746732,6264.415411944779
198216.11833370925,183087.90809962776,198425.5475526952,157707.23687268817,25381.53526735064
198451.18385307112,151546.0764562107,198433.68374867487,154574.80142050725,3028.7755220562467
198425.5475526952,157707.23687268817,198433.68374867487,154574.80142050725,3132.4460186513784
198506.45327720352,80753.68186195852,197651.23296030448,71008.71023772046,9782.426782125283
109.82824138313852,30912.42578622338,20513.45200243896,44050.61183782611,24267.669754412967
97.1557519927764,102790.78560835744,97.1557519927764,112312.04930364952,9521.263695292088
