Wed Apr 02 01:40:33 2025


Number of Points = 3836

Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
0.000000	5.968592	0.000000	0.002533	0.435499
0.293568	10.847123	0.005005	0.002462	0.450292
0.590070	15.767512	0.010010	0.002391	0.464736
0.756131	20.731993	0.015014	0.002351	0.478732
1.172611	25.611086	0.020019	0.002251	0.492350
1.296662	30.598811	0.025024	0.002220	0.505601
1.654434	35.486371	0.030029	0.002134	0.518480
1.770039	40.475987	0.035034	0.002106	0.531077
1.935836	45.444152	0.040038	0.002066	0.543374
2.049205	50.441241	0.045043	0.002038	0.555422
2.384270	55.334371	0.050048	0.001958	0.567164
2.638474	60.261476	0.055053	0.001897	0.578676
2.706340	65.291522	0.060058	0.001880	0.590039
2.938634	70.215340	0.065062	0.001824	0.601088
3.171565	75.175647	0.070067	0.001768	0.612016
3.301071	80.138367	0.075072	0.001736	0.622677
3.469619	85.130416	0.080077	0.001695	0.633249
3.621020	90.085553	0.085082	0.001659	0.643559
3.891059	95.023143	0.090086	0.001594	0.653759
4.012896	100.002618	0.095091	0.001564	0.663777
4.177156	104.981785	0.100096	0.001524	0.673676
4.336597	109.927799	0.105101	0.001486	0.683364
4.695091	114.830423	0.110106	0.001399	0.692974
4.718666	119.829566	0.115110	0.001393	0.702401
4.769622	124.875426	0.120115	0.001381	0.711809
4.988884	129.798513	0.125120	0.001328	0.720983
5.225713	134.758099	0.130125	0.001271	0.730119
5.363083	139.712225	0.135130	0.001237	0.739067
5.484847	144.742031	0.140134	0.001208	0.748031
5.537867	149.730460	0.145139	0.001194	0.756773
5.753795	154.679615	0.150144	0.001142	0.765451
5.853468	159.665458	0.155149	0.001118	0.774020
6.139480	164.578976	0.160154	0.001049	0.782490
6.330377	169.580011	0.165158	0.001003	0.790956
6.333710	174.584830	0.170163	0.001002	0.799225
6.528456	179.562826	0.175168	0.000955	0.807481
6.726464	184.491907	0.180173	0.000907	0.815575
6.881545	189.467540	0.185178	0.000869	0.823640
6.907647	194.524350	0.190182	0.000863	0.831679
7.154264	199.434600	0.195187	0.000803	0.839539
7.230620	204.460323	0.200192	0.000784	0.847408
7.446298	209.386745	0.205197	0.000732	0.855130
7.529570	214.379570	0.210202	0.000712	0.862811
7.551654	219.446918	0.215206	0.000706	0.870502
7.785179	224.363088	0.220211	0.000650	0.878016
7.916124	229.353505	0.225216	0.000618	0.885520
7.943674	234.350970	0.230221	0.000611	0.892916
8.013986	239.344399	0.235226	0.000594	0.900268
8.198774	244.383905	0.240230	0.000549	0.907688
8.244882	249.365330	0.245235	0.000537	0.914891
8.434622	254.297245	0.250240	0.000492	0.922042
8.594075	259.297925	0.255245	0.000453	0.929220
8.591740	264.315975	0.260250	0.000453	0.936284
8.832000	269.256493	0.265254	0.000395	0.943310
9.017701	274.253992	0.270259	0.000350	0.950336
9.190047	279.211836	0.275264	0.000308	0.957249
9.274471	284.199975	0.280269	0.000288	0.964110
9.349519	289.207776	0.285274	0.000269	0.970944
