Wed Apr 02 00:27:14 2025


Number of Points = 4490

Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
14.717667	539.021600	0.535514	-0.001030	1.261072
14.922528	544.070644	0.540518	-0.001079	1.266396
14.828497	549.086161	0.545523	-0.001057	1.271553
14.948476	554.055720	0.550528	-0.001085	1.276720
14.983887	559.086335	0.555533	-0.001094	1.281897
15.258989	564.059419	0.560538	-0.001160	1.287083
15.311172	569.042412	0.565542	-0.001173	1.292177
15.396681	574.018646	0.570547	-0.001193	1.297256
15.339356	579.095243	0.575552	-0.001180	1.302365
15.597497	584.039376	0.580557	-0.001241	1.307434
15.630369	589.034076	0.585562	-0.001249	1.312454
15.792440	593.962207	0.590566	-0.001288	1.317434
15.847088	599.006268	0.595571	-0.001302	1.322472
16.090121	603.938134	0.600576	-0.001360	1.327447
15.981601	609.001089	0.605581	-0.001334	1.332409
16.149621	613.932012	0.610586	-0.001374	1.337319
16.354894	618.962140	0.615590	-0.001424	1.342322
16.509247	623.946281	0.620595	-0.001461	1.347243
16.655465	628.921420	0.625600	-0.001496	1.352135
16.640790	633.906767	0.630605	-0.001492	1.356964
16.507957	639.015874	0.635610	-0.001461	1.361855
16.692611	643.989302	0.640614	-0.001505	1.366706
16.851779	648.966585	0.645619	-0.001543	1.371534
16.924523	653.936839	0.650624	-0.001561	1.376310
16.970566	658.987939	0.655629	-0.001572	1.381137
17.111033	664.039499	0.660634	-0.001606	1.385980
17.208546	668.983662	0.665638	-0.001629	1.390690
17.266047	674.002348	0.670643	-0.001643	1.395441
17.361206	678.955855	0.675648	-0.001666	1.400127
17.354778	684.082239	0.680653	-0.001665	1.404925
17.435684	689.005806	0.685658	-0.001684	1.409547
17.766758	693.939294	0.690662	-0.001763	1.414245
17.702500	698.928957	0.695667	-0.001748	1.418850
17.893574	704.074874	0.700672	-0.001794	1.423667
17.938283	708.982904	0.705677	-0.001805	1.428202
18.027228	714.018034	0.710682	-0.001826	1.432854
18.086836	718.953926	0.715686	-0.001841	1.437390
18.144018	724.040719	0.720691	-0.001854	1.442049
18.247575	729.011139	0.725696	-0.001879	1.446602
18.295604	734.033657	0.730701	-0.001891	1.451170
18.447850	738.972059	0.735706	-0.001927	1.455680
18.482065	744.001550	0.740710	-0.001936	1.460222
18.703556	749.089677	0.745715	-0.001989	1.464861
18.669243	754.029238	0.750720	-0.001981	1.469272
18.909901	759.006745	0.755725	-0.002039	1.473790
18.800973	763.978815	0.760730	-0.002013	1.478180
18.927712	769.100550	0.765734	-0.002043	1.482763
18.977397	774.043355	0.770739	-0.002055	1.487150
19.019212	779.055707	0.775744	-0.002065	1.491582
19.269142	783.963779	0.780749	-0.002125	1.495975
19.369498	788.997738	0.785754	-0.002149	1.500418
19.404652	794.103424	0.790758	-0.002158	1.504891
19.489509	799.051048	0.795763	-0.002178	1.509229
19.345810	804.157493	0.800768	-0.002144	1.513622
19.499678	809.009850	0.805773	-0.002181	1.517873
19.751136	814.102555	0.810778	-0.002241	1.522349
19.779379	819.070034	0.815782	-0.002248	1.526636
19.966327	824.050774	0.820787	-0.002293	1.530971
20.140663	828.967985	0.825792	-0.002335	1.535235
20.128313	834.013747	0.830797	-0.002332	1.539542
20.346980	839.117142	0.835802	-0.002385	1.543954
20.377157	844.028901	0.840806	-0.002392	1.548135
20.302415	849.129914	0.845811	-0.002374	1.552434
20.494713	854.004507	0.850816	-0.002420	1.556609
20.726781	859.042549	0.855821	-0.002476	1.560922
20.804062	864.064332	0.860826	-0.002495	1.565164
20.846726	868.999051	0.865830	-0.002505	1.569311
20.828016	874.077302	0.870835	-0.002501	1.573549
20.868802	879.006732	0.875840	-0.002510	1.577670
21.103035	884.153440	0.880845	-0.002567	1.582016
21.134150	889.100215	0.885850	-0.002574	1.586126
21.232552	894.078979	0.890854	-0.002598	1.590271
21.246192	899.101847	0.895859	-0.002601	1.594417
21.352009	904.057504	0.900864	-0.002627	1.598524
21.610085	909.117326	0.905869	-0.002689	1.602749
21.723894	914.026816	0.910874	-0.002716	1.606799
21.811322	919.055255	0.915878	-0.002737	1.610928
21.669712	924.099991	0.920883	-0.002703	1.614995
21.849325	929.092401	0.925888	-0.002746	1.619100
21.924029	934.217621	0.930893	-0.002764	1.623273
22.078585	939.101152	0.935898	-0.002801	1.627262
22.076699	944.157511	0.940902	-0.002801	1.631337
22.292882	949.068546	0.945907	-0.002853	1.635345
22.187242	954.134111	0.950912	-0.002828	1.639378
22.381549	959.185365	0.955917	-0.002874	1.643473
22.509086	964.087292	0.960922	-0.002905	1.647421
22.472730	969.164395	0.965926	-0.002897	1.651453
22.616920	974.094433	0.970931	-0.002931	1.655408
