Wed Apr 02 00:27:14 2025


Number of Points = 4490

Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
71.127639	5060.052110	5.044838	-0.014648	3.674436
71.215727	5065.081538	5.049843	-0.014669	3.676238
71.187670	5070.153093	5.054848	-0.014663	3.678044
71.220271	5075.236494	5.059853	-0.014671	3.679859
71.348215	5080.091388	5.064858	-0.014701	3.681600
71.334683	5085.029256	5.069862	-0.014698	3.683357
71.527149	5090.049998	5.074867	-0.014744	3.685160
71.547159	5095.514906	5.079872	-0.014749	3.687106
71.538497	5100.604803	5.084877	-0.014747	3.688915
71.459673	5105.633709	5.089882	-0.014729	3.690696
71.656748	5110.380548	5.094886	-0.014776	3.692399
71.751389	5115.388464	5.099891	-0.014799	3.694185
71.695157	5120.463221	5.104896	-0.014785	3.695981
71.669218	5125.598471	5.109901	-0.014779	3.697801
71.921257	5130.556693	5.114906	-0.014840	3.699580
71.759463	5135.511979	5.119910	-0.014801	3.701322
71.839954	5140.371469	5.124915	-0.014821	3.703050
71.814343	5145.482060	5.129920	-0.014815	3.704858
71.835285	5150.784569	5.134925	-0.014820	3.706736
72.027666	5155.814933	5.139930	-0.014866	3.708531
72.085619	5160.887989	5.144934	-0.014880	3.710329
72.086832	5165.606492	5.149939	-0.014880	3.711997
72.066113	5170.673476	5.154944	-0.014875	3.713785
72.086334	5175.778472	5.159949	-0.014880	3.715589
72.161178	5180.835192	5.164954	-0.014899	3.717379
72.356199	5185.904502	5.169958	-0.014945	3.719183
72.421069	5190.778944	5.174963	-0.014961	3.720907
72.339126	5195.617988	5.179968	-0.014941	3.722605
72.491490	5200.730203	5.184973	-0.014978	3.724418
72.478355	5206.028842	5.189978	-0.014975	3.726282
72.425946	5211.262019	5.194982	-0.014963	3.728119
72.549115	5216.259948	5.199987	-0.014992	3.729887
72.554624	5221.086776	5.204992	-0.014994	3.731584
72.501572	5226.116882	5.209997	-0.014981	3.733347
72.470453	5231.167389	5.215002	-0.014974	3.735118
72.680230	5236.228638	5.220006	-0.015024	3.736912
72.664149	5241.287621	5.225011	-0.015021	3.738685
72.674087	5246.253054	5.230016	-0.015023	3.740427
72.772268	5251.050776	5.235021	-0.015047	3.742117
72.751040	5256.149186	5.240026	-0.015042	3.743902
72.823504	5261.307783	5.245030	-0.015059	3.745714
72.823765	5266.512303	5.250035	-0.015059	3.747536
73.041002	5271.555149	5.255040	-0.015112	3.749317
72.989606	5276.452436	5.260045	-0.015099	3.751026
72.899322	5281.341225	5.265050	-0.015078	3.752727
73.077458	5286.423447	5.270054	-0.015121	3.754517
73.037802	5291.530467	5.275059	-0.015111	3.756297
72.959438	5296.554842	5.280064	-0.015093	3.758045
73.316915	5301.622947	5.285069	-0.015178	3.759841
73.195161	5306.386201	5.290074	-0.015149	3.761492
73.297956	5311.403743	5.295078	-0.015174	3.763250
73.355635	5316.542456	5.300083	-0.015188	3.765044
73.414289	5321.998181	5.305088	-0.015202	3.766949
73.484285	5327.038686	5.310093	-0.015219	3.768709
73.466997	5332.039590	5.315098	-0.015215	3.770447
73.388434	5336.843965	5.320102	-0.015196	3.772111
73.513040	5341.864577	5.325107	-0.015226	3.773866
73.587521	5346.974514	5.330112	-0.015244	3.775647
73.481255	5352.045382	5.335117	-0.015219	3.777400
73.597463	5357.052556	5.340122	-0.015247	3.779147
73.664935	5361.971481	5.345126	-0.015263	3.780859
73.626569	5366.840214	5.350131	-0.015254	3.782544
73.780130	5371.909774	5.355136	-0.015291	3.784313
73.783110	5377.226020	5.360141	-0.015292	3.786155
73.908763	5382.273493	5.365146	-0.015322	3.787913
73.990374	5387.393806	5.370150	-0.015342	3.789691
74.035529	5392.099700	5.375155	-0.015353	3.791323
73.974222	5397.132486	5.380160	-0.015338	3.793058
74.015532	5402.246373	5.385165	-0.015348	3.794829
74.179289	5407.212897	5.390170	-0.015388	3.796558
74.144332	5412.359671	5.395174	-0.015379	3.798332
74.173629	5417.325119	5.400179	-0.015386	3.800049
74.137682	5422.119324	5.405184	-0.015378	3.801700
74.423584	5427.215897	5.410189	-0.015447	3.803480
74.221394	5432.413458	5.415194	-0.015398	3.805255
74.365085	5437.749173	5.420198	-0.015433	3.807105
74.483502	5442.782212	5.425203	-0.015461	3.808847
74.407395	5447.679120	5.430208	-0.015443	3.810527
74.437058	5452.611499	5.435213	-0.015450	3.812226
74.493511	5457.604521	5.440218	-0.015464	3.813948
74.491716	5462.731023	5.445222	-0.015464	3.815710
74.372919	5467.798059	5.450227	-0.015436	3.817442
74.575200	5472.831528	5.455232	-0.015484	3.819186
74.620096	5477.685332	5.460237	-0.015495	3.820856
74.652159	5482.590567	5.465242	-0.015503	3.822541
74.687456	5487.694820	5.470246	-0.015511	3.824294
74.722442	5492.986406	5.475251	-0.015520	3.826111
74.751269	5498.105103	5.480256	-0.015527	3.827867
74.899969	5503.145515	5.485261	-0.015563	3.829605
74.962371	5507.734197	5.490266	-0.015578	3.831181
75.053442	5512.760936	5.495270	-0.015600	3.832908
74.951410	5517.892498	5.500275	-0.015575	3.834655
74.923938	5522.920189	5.505280	-0.015569	3.836372
75.094826	5528.012726	5.510285	-0.015610	3.838125
75.047288	5532.967176	5.515290	-0.015599	3.839814
75.054973	5537.812697	5.520294	-0.015601	3.841469
75.339354	5542.845658	5.525299	-0.015669	3.843208
75.178129	5548.044369	5.530304	-0.015630	3.844969
75.264524	5553.348699	5.535309	-0.015651	3.846784
75.425907	5558.358506	5.540314	-0.015690	3.848504
75.494944	5563.297651	5.545318	-0.015707	3.850192
75.469082	5568.106934	5.550323	-0.015701	3.851827
75.500689	5573.172459	5.555328	-0.015708	3.853554
75.641374	5578.264696	5.560333	-0.015742	3.855297
75.700469	5583.323212	5.565338	-0.015756	3.857021
75.637432	5588.328411	5.570342	-0.015741	3.858718
75.725092	5593.253683	5.575347	-0.015762	3.860398
75.732993	5598.108685	5.580352	-0.015764	3.862047
75.850562	5603.185259	5.585357	-0.015793	3.863779
75.829001	5608.477149	5.590362	-0.015788	3.865573
75.820654	5613.619407	5.595366	-0.015786	3.867317
75.910863	5618.632591	5.600371	-0.015808	3.869023
75.934380	5623.436968	5.605376	-0.015813	3.870652
75.942034	5628.421120	5.610381	-0.015815	3.872341
75.978026	5633.485132	5.615386	-0.015824	3.874058
76.033533	5638.555407	5.620390	-0.015837	3.875778
76.132521	5643.621146	5.625395	-0.015861	3.877499
76.124334	5648.637028	5.630400	-0.015859	3.879194
76.220946	5653.399207	5.635405	-0.015883	3.880811
76.198174	5658.427209	5.640410	-0.015877	3.882508
76.234885	5663.627435	5.645414	-0.015886	3.884266
76.427542	5668.976206	5.650419	-0.015933	3.886086
76.298060	5674.076120	5.655424	-0.015902	3.887797
76.361195	5679.041537	5.660429	-0.015917	3.889476
76.382807	5683.843129	5.665434	-0.015922	3.891096
76.461872	5688.851016	5.670438	-0.015941	3.892789
76.498902	5693.939854	5.675443	-0.015950	3.894505
76.698993	5698.964665	5.680448	-0.015998	3.896211
76.614601	5704.063226	5.685453	-0.015978	3.897921
76.562112	5708.984332	5.690458	-0.015966	3.899572
76.672225	5713.828344	5.695462	-0.015992	3.901208
76.550524	5718.889486	5.700467	-0.015963	3.902900
76.769799	5724.055977	5.705472	-0.016016	3.904652
76.917353	5729.296303	5.710477	-0.016051	3.906422
76.775340	5734.337874	5.715482	-0.016018	3.908103
76.788748	5739.295603	5.720486	-0.016021	3.909767
77.015886	5744.099995	5.725491	-0.016075	3.911395
76.913852	5749.203492	5.730496	-0.016051	3.913098
76.960457	5754.275946	5.735501	-0.016062	3.914801
76.989458	5759.361907	5.740506	-0.016070	3.916506
76.888049	5764.420554	5.745510	-0.016045	3.918192
77.046846	5769.267188	5.750515	-0.016084	3.919825
76.961633	5774.213600	5.755520	-0.016063	3.921473
77.345419	5779.192176	5.760525	-0.016155	3.923165
77.156780	5784.645512	5.765530	-0.016110	3.924974
77.336592	5789.782247	5.770534	-0.016153	3.926702
77.273036	5794.903775	5.775539	-0.016138	3.928408
77.445659	5799.682663	5.780544	-0.016180	3.930015
77.460395	5804.598755	5.785549	-0.016183	3.931656
77.481176	5809.654201	5.790554	-0.016189	3.933343
77.384475	5814.789624	5.795558	-0.016166	3.935047
77.531926	5819.830566	5.800563	-0.016201	3.936737
77.554473	5824.843428	5.805568	-0.016206	3.938408
77.622254	5829.687336	5.810573	-0.016223	3.940025
77.658652	5834.622594	5.815578	-0.016232	3.941670
77.633372	5839.648294	5.820582	-0.016226	3.943340
77.760710	5845.012467	5.825587	-0.016256	3.945132
77.663201	5850.123869	5.830592	-0.016233	3.946824
77.800836	5855.183214	5.835597	-0.016266	3.948514
77.734782	5859.947989	5.840602	-0.016251	3.950091
77.866030	5864.901935	5.845606	-0.016282	3.951745
78.043433	5869.978956	5.850611	-0.016325	3.953441
78.046957	5875.048351	5.855616	-0.016326	3.955123
77.947609	5880.119296	5.860621	-0.016302	3.956796
77.950287	5885.187507	5.865626	-0.016303	3.958476
78.100150	5889.921877	5.870630	-0.016339	3.960054
78.199290	5894.935957	5.875635	-0.016363	3.961721
78.182936	5900.020233	5.880640	-0.016359	3.963402
78.223768	5905.505146	5.885645	-0.016369	3.965219
78.214311	5910.592437	5.890650	-0.016367	3.966900
78.255071	5915.652290	5.895654	-0.016377	3.968575
78.216688	5920.356802	5.900659	-0.016368	3.970127
78.239131	5925.398204	5.905664	-0.016373	3.971793
78.285394	5930.484916	5.910669	-0.016384	3.973475
78.297371	5935.556474	5.915674	-0.016387	3.975149
78.556033	5940.579702	5.920678	-0.016449	3.976824
78.484092	5945.644012	5.925683	-0.016432	3.978488
78.553936	5950.373315	5.930688	-0.016449	3.980051
78.692816	5955.396088	5.935693	-0.016482	3.981715
78.602066	5960.446868	5.940698	-0.016461	3.983372
78.760582	5965.821767	5.945702	-0.016499	3.985152
78.746173	5970.878766	5.950707	-0.016496	3.986814
78.783116	5975.899477	5.955712	-0.016505	3.988467
78.812235	5980.694976	5.960717	-0.016512	3.990046
78.685568	5985.753362	5.965722	-0.016482	3.991699
78.807165	5990.793761	5.970726	-0.016511	3.993362
78.901348	5995.916278	5.975731	-0.016533	3.995050
78.868978	6000.920152	5.980736	-0.016526	3.996690
78.934898	6006.001528	5.985741	-0.016542	3.998361
78.875887	6010.773235	5.990746	-0.016528	3.999922
79.107528	6015.763881	5.995750	-0.016583	4.001573
79.079106	6020.846580	6.000755	-0.016577	4.003236
79.109408	6026.404431	6.005760	-0.016584	4.005058
79.139574	6031.396251	6.010765	-0.016591	4.006694
79.277165	6036.400999	6.015770	-0.016624	4.008341
79.367832	6041.145572	6.020774	-0.016646	4.009899
79.313193	6046.213774	6.025779	-0.016633	4.011552
79.426890	6051.192435	6.030784	-0.016661	4.013187
79.378347	6056.369612	6.035789	-0.016649	4.014875
79.530855	6061.378771	6.040794	-0.016686	4.016520
79.506489	6066.452818	6.045798	-0.016680	4.018175
79.579132	6071.130629	6.050803	-0.016698	4.019706
79.483723	6076.210111	6.055808	-0.016675	4.021356
79.598412	6081.248798	6.060813	-0.016702	4.023006
79.633334	6086.582206	6.065818	-0.016711	4.024746
79.681531	6091.717672	6.070822	-0.016723	4.026422
79.702686	6096.765968	6.075827	-0.016728	4.028067
79.729173	6101.480364	6.080832	-0.016734	4.029603
79.733945	6106.535108	6.085837	-0.016736	4.031248
79.726954	6111.593400	6.090842	-0.016734	4.032892
79.863098	6116.644218	6.095846	-0.016767	4.034543
79.925886	6121.681614	6.100851	-0.016782	4.036184
79.804967	6126.785116	6.105856	-0.016753	4.037833
79.978062	6131.589304	6.110861	-0.016795	4.039405
80.139949	6136.486263	6.115866	-0.016834	4.041005
80.007251	6141.613649	6.120870	-0.016802	4.042659
80.144479	6147.079226	6.125875	-0.016835	4.044441
80.118096	6152.130178	6.130880	-0.016829	4.046076
80.127440	6157.205666	6.135885	-0.016831	4.047721
80.220554	6162.018141	6.140890	-0.016854	4.049286
80.362115	6166.775256	6.145894	-0.016888	4.050835
80.301327	6171.876993	6.150899	-0.016873	4.052482
80.330127	6176.986466	6.155904	-0.016880	4.054137
80.390719	6182.000716	6.160909	-0.016895	4.055762
80.437663	6187.028499	6.165914	-0.016906	4.057390
80.399923	6191.952975	6.170918	-0.016897	4.058978
80.519693	6196.813175	6.175923	-0.016926	4.060556
80.556295	6201.813282	6.180928	-0.016935	4.062173
80.595264	6207.153584	6.185933	-0.016944	4.063898
80.630507	6212.351722	6.190938	-0.016953	4.065577
80.655019	6217.393454	6.195942	-0.016959	4.067205
80.828052	6222.250828	6.200947	-0.017001	4.068782
80.796751	6227.073438	6.205952	-0.016993	4.070333
80.999379	6232.174864	6.210957	-0.017042	4.071989
80.797941	6237.296969	6.215962	-0.016994	4.073625
80.937434	6242.300023	6.220966	-0.017027	4.075244
80.948319	6247.389601	6.225971	-0.017030	4.076882
80.908627	6252.293426	6.230976	-0.017021	4.078456
81.028201	6257.192908	6.235981	-0.017049	4.080039
81.042738	6262.260534	6.240986	-0.017053	4.081668
81.019216	6267.495447	6.245990	-0.017048	4.083347
81.026661	6272.869196	6.250995	-0.017049	4.085073
81.124200	6277.936921	6.256000	-0.017073	4.086705
81.144400	6282.890016	6.261005	-0.017078	4.088295
81.158906	6287.653376	6.266010	-0.017082	4.089824
81.202273	6292.707859	6.271014	-0.017092	4.091446
81.206532	6297.810300	6.276019	-0.017093	4.093081
81.157665	6302.877764	6.281024	-0.017082	4.094701
81.391373	6307.927088	6.286029	-0.017138	4.096333
81.295280	6312.925192	6.291034	-0.017115	4.097926
81.340361	6317.635059	6.296038	-0.017126	4.099435
81.489518	6322.666457	6.301043	-0.017162	4.101054
81.539625	6327.790228	6.306048	-0.017174	4.102695
81.492060	6333.191830	6.311053	-0.017162	4.104417
81.541379	6338.238833	6.316058	-0.017174	4.106032
81.595653	6343.255541	6.321062	-0.017188	4.107637
81.716452	6347.944787	6.326067	-0.017217	4.109142
81.726629	6352.982043	6.331072	-0.017219	4.110749
81.678016	6358.102618	6.336077	-0.017208	4.112379
81.802221	6363.150318	6.341082	-0.017237	4.113996
81.835836	6368.168255	6.346086	-0.017246	4.115597
81.851164	6373.251629	6.351091	-0.017249	4.117217
81.821791	6378.069396	6.356096	-0.017243	4.118749
81.936773	6383.032697	6.361101	-0.017270	4.120336
81.966208	6388.116177	6.366106	-0.017277	4.121955
81.955956	6393.524804	6.371110	-0.017275	4.123674
82.051056	6398.700467	6.376115	-0.017298	4.125325
82.139720	6403.664308	6.381120	-0.017319	4.126908
82.213592	6408.543575	6.386125	-0.017337	4.128462
82.221201	6413.457599	6.391130	-0.017339	4.130023
82.263534	6418.509213	6.396134	-0.017349	4.131629
82.222595	6423.645344	6.401139	-0.017340	4.133256
82.244369	6428.651856	6.406144	-0.017345	4.134845
82.239899	6433.755157	6.411149	-0.017344	4.136463
82.335026	6438.654409	6.416154	-0.017367	4.138021
82.424717	6443.488604	6.421158	-0.017389	4.139558
82.370162	6448.618538	6.426163	-0.017376	4.141179
82.388256	6453.710392	6.431168	-0.017380	4.142792
82.440732	6459.009598	6.436173	-0.017393	4.144472
82.472013	6464.089082	6.441178	-0.017401	4.146080
82.521616	6469.043461	6.446182	-0.017413	4.147650
82.640629	6473.807159	6.451187	-0.017441	4.149163
82.703135	6478.847714	6.456192	-0.017456	4.150759
82.568109	6484.001457	6.461197	-0.017424	4.152378
82.830812	6488.983637	6.466202	-0.017487	4.153967
82.701084	6494.100695	6.471206	-0.017456	4.155574
82.788046	6499.145264	6.476211	-0.017477	4.157170
82.767238	6503.898130	6.481216	-0.017472	4.158667
82.815109	6508.913582	6.486221	-0.017484	4.160251
82.929979	6513.976242	6.491226	-0.017511	4.161853
83.121865	6519.383655	6.496230	-0.017557	4.163568
83.094198	6524.584593	6.501235	-0.017551	4.165204
83.196749	6529.599255	6.506240	-0.017576	4.166788
83.152642	6534.436204	6.511245	-0.017565	4.168307
83.101810	6539.357644	6.516250	-0.017553	4.169852
83.134348	6544.411558	6.521254	-0.017561	4.171442
83.317725	6549.476615	6.526259	-0.017605	4.173045
83.244024	6554.526413	6.531264	-0.017588	4.174627
83.378798	6559.608915	6.536269	-0.017620	4.176231
83.406168	6564.487586	6.541274	-0.017627	4.177764
83.300950	6569.361119	6.546278	-0.017602	4.179286
83.459775	6574.454645	6.551283	-0.017640	4.180894
83.430498	6579.565968	6.556288	-0.017633	4.182494
83.358737	6584.895763	6.561293	-0.017616	4.184160
83.620295	6589.904552	6.566298	-0.017679	4.185745
83.567704	6594.927631	6.571302	-0.017666	4.187315
83.552311	6599.695965	6.576307	-0.017663	4.188807
83.726024	6604.683676	6.581312	-0.017704	4.190378
83.737342	6609.774747	6.586317	-0.017707	4.191971
83.865131	6614.856129	6.591322	-0.017738	4.193568
83.773493	6619.874171	6.596326	-0.017716	4.195131
83.882377	6624.973099	6.601331	-0.017742	4.196730
83.907490	6629.778317	6.606336	-0.017748	4.198233
83.833848	6634.734398	6.611341	-0.017731	4.199775
83.865221	6639.797016	6.616346	-0.017739	4.201357
84.036766	6645.179752	6.621350	-0.017780	4.203047
83.919342	6650.380237	6.626355	-0.017752	4.204662
84.105197	6655.359853	6.631360	-0.017796	4.206225
84.091009	6660.292803	6.636365	-0.017793	4.207762
83.987232	6665.155612	6.641370	-0.017769	4.209270
84.173793	6670.212869	6.646374	-0.017813	4.210856
84.213422	6675.286342	6.651379	-0.017823	4.212438
84.284376	6680.294492	6.656384	-0.017840	4.214000
84.308176	6685.450119	6.661389	-0.017846	4.215605
84.311321	6690.422884	6.666394	-0.017847	4.217152
84.367550	6695.157223	6.671398	-0.017860	4.218626
84.468151	6700.233451	6.676403	-0.017885	4.220210
84.425864	6705.273664	6.681408	-0.017875	4.221773
84.390939	6710.705556	6.686413	-0.017866	4.223457
84.467239	6715.755087	6.691418	-0.017885	4.225028
84.564431	6720.773337	6.696422	-0.017908	4.226591
84.620753	6725.572727	6.701427	-0.017922	4.228083
84.716483	6730.485154	6.706432	-0.017945	4.229611
84.701776	6735.583706	6.711437	-0.017941	4.231190
84.872509	6740.665914	6.716442	-0.017982	4.232775
84.817086	6745.713537	6.721446	-0.017969	4.234335
84.794673	6750.840438	6.726451	-0.017964	4.235920
84.900814	6755.683418	6.731456	-0.017990	4.237425
84.920927	6760.551585	6.736461	-0.017995	4.238932
84.863403	6765.654373	6.741466	-0.017981	4.240506
84.954815	6770.834795	6.746470	-0.018003	4.242113
84.933232	6776.268071	6.751475	-0.017998	4.243790
84.948377	6781.349745	6.756480	-0.018002	4.245361
85.142882	6786.335589	6.761485	-0.018048	4.246911
84.982738	6791.058652	6.766490	-0.018010	4.248360
85.063584	6796.097952	6.771494	-0.018030	4.249919
85.160872	6801.186643	6.776499	-0.018053	4.251494
85.100042	6806.225100	6.781504	-0.018039	4.253044
85.277286	6811.272078	6.786509	-0.018081	4.254610
85.351640	6816.331272	6.791514	-0.018099	4.256173
85.328909	6821.156161	6.796518	-0.018094	4.257657
85.442801	6826.063474	6.801523	-0.018121	4.259174
85.348486	6831.149785	6.806528	-0.018099	4.260734
85.499521	6836.394758	6.811533	-0.018135	4.262356
85.496390	6841.587508	6.816538	-0.018134	4.263953
85.403620	6846.675119	6.821542	-0.018112	4.265511
85.580335	6851.613347	6.826547	-0.018155	4.267039
85.489577	6856.384027	6.831552	-0.018133	4.268499
85.482736	6861.468009	6.836557	-0.018132	4.270060
85.594604	6866.530584	6.841562	-0.018159	4.271620
85.662964	6871.618458	6.846566	-0.018175	4.273185
85.680889	6876.676937	6.851571	-0.018180	4.274738
85.844364	6881.734485	6.856576	-0.018219	4.276298
85.796049	6886.525845	6.861581	-0.018207	4.277764
85.858385	6891.469378	6.866586	-0.018222	4.279282
86.015388	6896.548922	6.871590	-0.018260	4.280847
85.942582	6901.931251	6.876595	-0.018243	4.282490
85.892743	6907.128716	6.881600	-0.018231	4.284078
86.033348	6912.180367	6.886605	-0.018265	4.285632
86.178912	6917.083911	6.891610	-0.018300	4.287140
86.053678	6921.956843	6.896614	-0.018270	4.288622
86.071838	6927.016271	6.901619	-0.018274	4.290170
86.213531	6932.043354	6.906624	-0.018308	4.291713
86.133337	6937.151285	6.911629	-0.018289	4.293269
86.322855	6942.174224	6.916634	-0.018335	4.294813
86.223566	6947.137933	6.921638	-0.018311	4.296322
86.316944	6951.866056	6.926643	-0.018334	4.297770
86.268232	6956.841193	6.931648	-0.018322	4.299284
86.318526	6961.903215	6.936653	-0.018334	4.300830
86.387113	6967.220877	6.941658	-0.018351	4.302455
86.323370	6972.370240	6.946662	-0.018336	4.304020
86.476538	6977.471198	6.951667	-0.018373	4.305582
86.466841	6982.323019	6.956672	-0.018370	4.307058
86.571243	6987.185244	6.961677	-0.018396	4.308544
86.620698	6992.271767	6.966682	-0.018408	4.310094
86.632521	6997.277723	6.971686	-0.018411	4.311617
86.700012	7002.373833	6.976691	-0.018427	4.313169
86.715140	7007.423871	6.981696	-0.018431	4.314705
86.722403	7012.521357	6.986701	-0.018432	4.316254
86.731356	7017.233729	6.991706	-0.018435	4.317685
86.759636	7022.277400	6.996710	-0.018442	4.319218
86.882001	7027.338574	7.001715	-0.018471	4.320760
86.914950	7032.792652	7.006720	-0.018479	4.322417
86.985988	7037.908220	7.011725	-0.018496	4.323972
86.935808	7042.967442	7.016730	-0.018484	4.325502
86.947104	7047.858520	7.021734	-0.018487	4.326985
86.944451	7052.767224	7.026739	-0.018487	4.328472
87.038664	7057.773390	7.031744	-0.018509	4.329993
87.017770	7062.833259	7.036749	-0.018504	4.331523
87.205918	7067.902270	7.041754	-0.018550	4.333067
87.126210	7072.970247	7.046758	-0.018531	4.334596
87.227619	7078.055608	7.051763	-0.018555	4.336139
87.294125	7082.695649	7.056768	-0.018571	4.337545
87.192918	7087.761362	7.061773	-0.018547	4.339070
87.364057	7092.813553	7.066778	-0.018588	4.340606
87.469042	7098.164995	7.071782	-0.018613	4.342227
87.463398	7103.270561	7.076787	-0.018612	4.343768
87.318335	7108.351415	7.081792	-0.018578	4.345293
87.468257	7113.226431	7.086797	-0.018614	4.346772
87.465178	7118.076943	7.091802	-0.018613	4.348234
87.620859	7123.111756	7.096806	-0.018650	4.349760
87.635607	7128.189354	7.101811	-0.018654	4.351291
87.622148	7133.276937	7.106816	-0.018651	4.352822
87.538406	7138.333335	7.111821	-0.018631	4.354340
87.804111	7143.318206	7.116826	-0.018695	4.355855
87.756515	7148.055106	7.121830	-0.018684	4.357278
87.816609	7153.133362	7.126835	-0.018698	4.358808
87.817190	7158.188802	7.131840	-0.018698	4.360329
87.816595	7163.593185	7.136845	-0.018698	4.361953
87.964850	7168.807659	7.141850	-0.018734	4.363528
88.044390	7173.812863	7.146854	-0.018753	4.365035
87.996043	7178.746001	7.151859	-0.018742	4.366514
88.022753	7183.532131	7.156864	-0.018748	4.367952
88.240460	7188.588529	7.161869	-0.018800	4.369481
88.239315	7193.619235	7.166874	-0.018800	4.370990
88.152732	7198.712746	7.171878	-0.018780	4.372512
88.222188	7203.817678	7.176883	-0.018796	4.374046
88.197005	7208.829783	7.181888	-0.018791	4.375546
88.307893	7213.653619	7.186893	-0.018817	4.376997
88.376998	7218.605404	7.191898	-0.018834	4.378484
88.331887	7223.692905	7.196902	-0.018823	4.380004
88.370142	7228.932224	7.201907	-0.018833	4.381574
88.416470	7234.110410	7.206912	-0.018844	4.383125
88.506157	7239.178326	7.211917	-0.018865	4.384645
88.500636	7244.197004	7.216922	-0.018864	4.386145
88.622473	7248.912695	7.221926	-0.018893	4.387561
88.612873	7254.016981	7.226931	-0.018891	4.389085
88.678732	7259.065772	7.231936	-0.018907	4.390596
88.680692	7264.162135	7.236941	-0.018908	4.392117
88.638953	7269.229264	7.241946	-0.018898	4.393627
88.683926	7274.251417	7.246950	-0.018909	4.395127
88.827595	7279.099782	7.251955	-0.018943	4.396581
88.905475	7283.998048	7.256960	-0.018962	4.398045
89.019141	7289.080281	7.261965	-0.018989	4.399565
88.979580	7294.328577	7.266970	-0.018980	4.401127
88.847915	7299.767927	7.271974	-0.018949	4.402739
88.873643	7304.836474	7.276979	-0.018955	4.404250
88.973866	7309.862215	7.281984	-0.018979	4.405750
89.120190	7314.528932	7.286989	-0.019014	4.407146
89.066854	7319.608057	7.291994	-0.019002	4.408654
89.130588	7324.598029	7.296998	-0.019017	4.410140
89.115282	7329.741178	7.302003	-0.019014	4.411668
89.056983	7334.756979	7.307008	-0.019000	4.413155
89.203895	7339.809049	7.312013	-0.019035	4.414663
89.223570	7344.777820	7.317018	-0.019040	4.416139
89.173379	7349.566852	7.322022	-0.019028	4.417558
89.316035	7354.633223	7.327027	-0.019062	4.419068
89.241250	7359.709762	7.332032	-0.019045	4.420570
89.436380	7365.077010	7.337037	-0.019091	4.422171
89.485773	7370.166062	7.342042	-0.019103	4.423682
89.450391	7375.235763	7.347046	-0.019095	4.425182
89.484607	7380.034677	7.352051	-0.019103	4.426605
89.393153	7384.947643	7.357056	-0.019082	4.428055
89.469527	7390.037766	7.362061	-0.019100	4.429565
89.519578	7395.110992	7.367066	-0.019112	4.431069
89.665137	7400.133532	7.372070	-0.019147	4.432562
89.732530	7405.232582	7.377075	-0.019163	4.434073
89.698547	7410.227307	7.382080	-0.019155	4.435547
89.735530	7414.979995	7.387085	-0.019164	4.436953
89.764108	7420.080270	7.392090	-0.019171	4.438461
89.870196	7425.068465	7.397094	-0.019197	4.439940
89.907032	7430.583343	7.402099	-0.019206	4.441569
89.950966	7435.718068	7.407104	-0.019216	4.443087
89.932044	7440.763747	7.412109	-0.019212	4.444574
89.846985	7445.669987	7.417114	-0.019192	4.446016
89.977525	7450.470859	7.422118	-0.019223	4.447438
89.952443	7455.603060	7.427123	-0.019217	4.448949
89.916132	7460.625503	7.432128	-0.019209	4.450427
90.129397	7465.651382	7.437133	-0.019260	4.451918
90.115799	7470.761336	7.442138	-0.019257	4.453421
90.181725	7475.804234	7.447142	-0.019273	4.454908
90.008990	7480.690082	7.452147	-0.019232	4.456337
90.231764	7485.564049	7.457152	-0.019285	4.457782
90.369026	7490.610386	7.462157	-0.019318	4.459272
90.301237	7495.869785	7.467162	-0.019302	4.460814
90.400868	7501.070573	7.472166	-0.019326	4.462347
90.439945	7506.149527	7.477171	-0.019335	4.463841
90.517508	7511.150264	7.482176	-0.019354	4.465313
90.501472	7515.904738	7.487181	-0.019350	4.466707
90.549705	7520.953080	7.492186	-0.019362	4.468191
90.490201	7525.976683	7.497190	-0.019348	4.469661
90.515195	7531.111125	7.502195	-0.019354	4.471168
90.617509	7536.120221	7.507200	-0.019379	4.472641
90.677563	7541.225537	7.512205	-0.019393	4.474140
90.695393	7546.209673	7.517210	-0.019398	4.475601
90.704055	7550.993321	7.522214	-0.019400	4.477002
90.757042	7556.069653	7.527219	-0.019413	4.478491
90.870735	7561.129977	7.532224	-0.019440	4.479977
90.782505	7566.581510	7.537229	-0.019419	4.481567
90.959161	7571.582431	7.542234	-0.019461	4.483039
90.981734	7576.596034	7.547238	-0.019467	4.484505
90.906591	7581.523008	7.552243	-0.019449	4.485941
91.037880	7586.340957	7.557248	-0.019481	4.487355
90.867122	7591.436780	7.562253	-0.019440	4.488835
91.054487	7596.465581	7.567258	-0.019485	4.490313
91.086947	7601.575562	7.572262	-0.019493	4.491805
91.068727	7606.625108	7.577267	-0.019489	4.493278
91.219878	7611.634035	7.582272	-0.019525	4.494746
91.221226	7616.429818	7.587277	-0.019525	4.496144
91.237338	7621.393882	7.592282	-0.019529	4.497592
91.409602	7626.454566	7.597286	-0.019571	4.499075
91.354633	7631.671732	7.602291	-0.019558	4.500592
91.429838	7636.903253	7.607296	-0.019576	4.502119
91.370947	7641.989425	7.612301	-0.019562	4.503597
91.400213	7647.023944	7.617306	-0.019569	4.505063
